,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
8541,Stallion Group,3.6,75,Private,Lagos + 9 more,53 years old,5k-10k Employees (Global),Telecom / ISP
8542,Via.com,3.6,60,Private,"New York City,New York + 7 more",17 years old,201-500 Employees (India),Internet
8543,Metro One Operat...,4.3,59,Private,Mumbai,16 years old,51-200 Employees (India),Urban Transport
8544,Pradot Technolog...,4.1,59,Private,"Indianapolis,Indiana + 2 more",23 years old,501-1k Employees (India),Medical Services / Hospital
8545,Interactive Aven...,4.2,59,Private,Mumbai + 4 more,16 years old,501-1k Employees (India),IT Services & Consulting
8546,Relevance Lab,3.8,59,Private,Singapore + 1 more,11 years old,201-500 Employees (India),Analytics / KPO / Research
8547,Integral Univers...,4.2,59,Private,Lucknow + 3 more,18 years old,501-1k Employees (India),Education / Training
8548,Lexus Motors,3.9,59,Private,Kolkata + 6 more,31 years old,501-1k Employees (India),Automobile
8549,Tbs India Telema...,4,59,Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,51-200 Employees (India),Medical Services / Hospital
8550,Tufropes,3.8,59,Private,"Mumbai,Maharashtra + 6 more",29 years old,1k-5k Employees (India),Import & Export
8551,Magnaquest Techn...,3.7,59,Private,"Hyderabad,Telangana + 3 more",26 years old,201-500 Employees (India),Internet
8552,Oriental Rubber ...,4.2,59,,Pune + 1 more,73 years old,,Manufacturing
8553,Run Service Info...,4.2,59,Private,Chennai + 11 more,15 years old,51-200 Employees (Global),IT Services & Consulting
8554,Hpcl Biofuels,4.2,59,,Patna + 10 more,13 years old,,Oil & Gas
8555,Ambica Steels,4.4,59,,New Delhi + 1 more,52 years old,,Manufacturing
8556,MPOnline,4,59,Public,Bhopal + 6 more,16 years old,201-500 Employees (India),IT Services & Consulting
8557,Connectwell Indu...,3.8,59,Private,Dombivli + 9 more,44 years old,501-1k Employees (India),Manufacturing
8558,Supreme Petroche...,4.1,59,Public,Mumbai + 2 more,29 years old,201-500 Employees (India),Chemicals / Agri Inputs
8559,LandCraft Develo...,3.9,59,Private,"Ghaziabad,Uttar Pradesh",15 years old,51-200 Employees (India),Real Estate
8560,Vidal Health Ins...,4.1,59,,"Bangalore,Karnataka + 9 more",,201-500 Employees (India),Banking / Insurance / Accounting
8561,FIL Industries,4.3,59,Private,"Delhi/NCR,Delhi + 3 more",33 years old,51-200 Employees (India),Chemicals
8562,Valecha Engineer...,4.2,59,Public,"Mumbai,Maharashtra + 16 more",65 years old,201-500 Employees (India),Architecture / Interior Design
8563,Lanco Solar Ener...,4.2,59,Private,Hyderabad + 8 more,,,Power
8564,Bhagwan Mahaveer...,4.2,59,,Jaipur + 1 more,25 years old,,Medical Services / Hospital
8565,St. Paul's Schoo...,3.8,59,Private,"Hazārībāg,jharkhand + 22 more",,,Education / Training
8566,Tekshapers Softw...,3.4,59,Private,Troy + 3 more,13 years old,201-500 Employees (India),Recruitment / Staffing
8567,Guru Nanak Auto ...,4.1,59,Private,Jamalpur + 1 more,76 years old,501-1k Employees (India),Retail
8568,Oswal Woollen Mi...,4.4,59,Public,Ludhiana + 5 more,73 years old,1k-5k Employees (India),Textile & Apparel
8569,Willis Processin...,3.9,59,Private,"Mumbai,Maharashtra + 2 more",30 years old,11-50 Employees (India),IT Services & Consulting
8570,Fujikura Automot...,4.6,59,Public,Koto-ku,137 years old,11-50 Employees (India),Electronic Components / Semiconductors
8571,Formula Group,3.8,59,Private,"New Delhi,Delhi + 9 more",18 years old,501-1k Employees (India),Financial Services
8572,Ashtech  INDIA,3.9,59,Private,Mumbai + 9 more,28 years old,51-200 Employees (India),Food Processing
8573,Anmol Feeds,3.7,59,Private,Kolkata + 7 more,22 years old,51-200 Employees (India),Agriculture / Forestry / Fishing
8574,ObjectWin Techno...,3.9,59,Private,"Houston,Texas + 3 more",25 years old,201-500 Employees (India),Recruitment / Staffing
8575,Andhra Petrochem...,4.4,59,Public,Tanuku + 1 more,38 years old,501-1k Employees (India),Petrochemical / Plastics / Rubber
8576,Harsha Abakus So...,4.5,59,,Ahmedabad + 4 more,12 years old,,Power
8577,Isha Foundation,4.1,59,,"Coimbatore,Tamil Nadu + 7 more",30 years old,,Financial Services
8578,Aditya Auto Prod...,4.1,59,Private,Bengaluru + 7 more,26 years old,51-200 Employees (India),Automobile
8579,Tokai Rika Minda,4.2,59,Private,Oguchi + 4 more,74 years old,51-200 Employees (India),Electronic Components / Semiconductors
8580,Matrix Media Sol...,4.5,59,Private,"Kolkata,West Bengal + 1 more",19 years old,51-200 Employees (India),Media & Entertainment / Publishing
8581,Wizertech Inform...,4.1,59,,Kolkata + 6 more,22 years old,,IT Services & Consulting
8582,Ssnr Projects.pv...,3.9,59,Private,"Visakhapatnam/Vizag,Andhra Pradesh + 8 more",10 years old,51-200 Employees (India),Engineering & Construction
8583,Keya Foods Inter...,4.3,59,Private,"Mumbai,Maharashtra + 15 more",13 years old,201-500 Employees (India),Food Processing
8584,Marsh India Insu...,3.9,59,Private,"New York City,New York + 9 more",19 years old,501-1k Employees (India),Financial Services
8585,The Kothari Whee...,4.1,59,,Pune + 1 more,16 years old,,Automobile
8586,Ecolog Internati...,4.7,59,Private,Düsseldorf + 1 more,19 years old,10k-50k Employees (Global),Courier / Logistics
8587,Connectwell Indu...,3.8,59,Private,Dombivli + 9 more,44 years old,501-1k Employees (India),Manufacturing
8588,ObjectWin Techno...,3.9,59,Private,"Houston,Texas + 3 more",25 years old,201-500 Employees (India),Recruitment / Staffing
8589,FEV,3.5,59,Private,Aachen + 2 more,44 years old,201-500 Employees (India),Industrial Equipment / Machinery
8590,Pradot Technolog...,4.1,59,Private,"Indianapolis,Indiana + 2 more",23 years old,501-1k Employees (India),Medical Services / Hospital
8591,Omega,3.9,59,Private,Sofia + 15 more,,,Industrial Equipment / Machinery
8592,THE Gate Academy,3.7,59,Private,"Bangalore,Karnataka + 12 more",13 years old,1k-5k Employees (India),Internet
8593,Integral Univers...,4.2,59,Private,Lucknow + 3 more,18 years old,501-1k Employees (India),Education / Training
8594,Future Market In...,2.6,59,Private,"Jumeirah Lakes Towers,Dubai",8 years old,51-200 Employees (India),Analytics / KPO / Research
8595,Interactive Aven...,4.2,59,Private,Mumbai + 4 more,16 years old,501-1k Employees (India),IT Services & Consulting
8596,Itron,3.7,59,Private,Liberty Lake + 6 more,45 years old,501-1k Employees (India),Internet
8597,MPOnline,4,59,Public,Bhopal + 6 more,16 years old,201-500 Employees (India),IT Services & Consulting
8598,Supreme Petroche...,4.1,59,Public,Mumbai + 2 more,29 years old,201-500 Employees (India),Chemicals / Agri Inputs
8599,Emtec,4.1,59,Private,"Jacksonville,Florida + 1 more",27 years old,51-200 Employees (India),Hardware & Networking
8600,Naiknavare Devel...,3.8,59,Private,"Pune,Maharashtra + 3 more",36 years old,201-500 Employees (India),Real Estate
8601,Kovair Software,3.1,59,Private,"San Ramon,California + 1 more",22 years old,51-200 Employees (India),Banking / Insurance / Accounting
8602,Shah Alloys,3.6,59,Public,Ahmedabad + 4 more,32 years old,1k-5k Employees (India),Iron & Steel
8603,Ashtech  INDIA,3.9,59,Private,Mumbai + 9 more,28 years old,51-200 Employees (India),Food Processing
8604,Model Infra Corp...,4,59,Private,Bengaluru + 4 more,22 years old,1k-5k Employees (India),Engineering & Construction
8605,Vidal Health Ins...,4.1,59,,"Bangalore,Karnataka + 9 more",,201-500 Employees (India),Banking / Insurance / Accounting
8606,Acharya Institut...,3,59,Private,Bengaluru + 5 more,32 years old,1k-5k Employees (India),Education / Training
8607,Phi Seeds,4.3,59,Private,Hyderabad + 21 more,46 years old,10k-50k Employees (Global),Agriculture / Forestry / Fishing
8608,Anmol Feeds,3.7,59,Private,Kolkata + 7 more,22 years old,51-200 Employees (India),Agriculture / Forestry / Fishing
8609,Oriental Rubber ...,4.2,59,,Pune + 1 more,73 years old,,Manufacturing
8610,Onegene,3,59,,Chennai + 2 more,,,Auto Components
8611,FIL Industries,4.3,59,Private,"Delhi/NCR,Delhi + 3 more",33 years old,51-200 Employees (India),Chemicals
8612,Formula Group,3.8,59,Private,"New Delhi,Delhi + 9 more",18 years old,501-1k Employees (India),Financial Services
8613,St. Paul's Schoo...,3.8,59,Private,"Hazārībāg,jharkhand + 22 more",,,Education / Training
8614,Bhagwan Mahaveer...,4.2,59,,Jaipur + 1 more,25 years old,,Medical Services / Hospital
8615,Fujikura Automot...,4.6,59,Public,Koto-ku,137 years old,11-50 Employees (India),Electronic Components / Semiconductors
8616,Tbs India Telema...,4,59,Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,51-200 Employees (India),Medical Services / Hospital
8617,Magnaquest Techn...,3.7,59,Private,"Hyderabad,Telangana + 3 more",26 years old,201-500 Employees (India),Internet
8618,Tufropes,3.8,59,Private,"Mumbai,Maharashtra + 6 more",29 years old,1k-5k Employees (India),Import & Export
8619,Hpcl Biofuels,4.2,59,,Patna + 10 more,13 years old,,Oil & Gas
8620,Willis Processin...,3.9,59,Private,"Mumbai,Maharashtra + 2 more",30 years old,11-50 Employees (India),IT Services & Consulting
8621,Valecha Engineer...,4.2,59,Public,"Mumbai,Maharashtra + 16 more",65 years old,201-500 Employees (India),Architecture / Interior Design
8622,Lanco Solar Ener...,4.2,59,Private,Hyderabad + 8 more,,,Power
8623,Damas Jewellery,4.2,59,,Dubai + 8 more,115 years old,,Gems & Jewellery
8624,R K Marbles,3.6,59,Private,Kishangarh + 13 more,33 years old,1k-5k Employees (India),Metals & Mining
8625,Citizens Hospita...,4.7,59,Private,"Hyderabad/Secunderabad,Telangana + 1 more",10 years old,51-200 Employees (India),Healthcare / Pharma
8626,Solverminds Solu...,3.4,59,Private,"Chennai,Tamil Nadu",19 years old,501-1k Employees (India),Hardware & Networking
8627,Panasonic Applia...,4.4,59,,Gurgaon/Gurugram + 24 more,,,
8628,Elcomponics Sale...,2.3,59,Private,Noida + 4 more,34 years old,501-1k Employees (India),Electronics Manufacturing
8629,AFour Technologi...,3.8,59,Private,Pune,15 years old,201-500 Employees (India),Hardware & Networking
8630,Skilrock Technol...,4.2,59,Private,"Gurgaon/Gurugram,Haryana",15 years old,51-200 Employees (India),Hardware & Networking
8631,Atom Technologie...,4,59,Public,"Mumbai,Maharashtra + 8 more",16 years old,501-1k Employees (India),Financial Services
8632,Anupam Industrie...,3.9,59,Private,Anand + 7 more,49 years old,201-500 Employees (India),Industrial Equipment / Machinery
8633,Openview Technol...,3.2,59,Private,"Pune,Maharashtra + 6 more",26 years old,51-200 Employees (India),IT Services & Consulting
8634,Vector India,4.5,59,Private,"Tucson,Arizona + 2 more",13 years old,1k-5k Employees (India),Internet
8635,Schiller Healthc...,3.5,59,Private,"Mumbai,Maharashtra + 15 more",25 years old,201-500 Employees (India),Manufacturing
8636,Volante Technolo...,3.3,59,Private,New York + 1 more,,,Hardware & Networking
8637,AbsolutData,3.5,59,Private,Alameda + 3 more,21 years old,201-500 Employees (India),Consulting
8638,Cambridge Univer...,4,59,Private,Cambridge + 10 more,488 years old,51-200 Employees (India),Media & Entertainment / Publishing
8639,Powermech Engine...,3.8,59,,"Chennai,Tamil Nadu + 16 more",29 years old,,Auto Components
8640,Shree Bharat Int...,4,59,Private,Noida + 3 more,36 years old,1k-5k Employees (India),Consumer goods
8641,Flytxt Mobile So...,3.9,59,Private,Nieuwegein + 4 more,14 years old,201-500 Employees (India),IT Services & Consulting
8642,S.H. Kelkar & Co...,4.2,59,Private,"Mumbai,Maharashtra + 7 more",14 years old,1k-5k Employees (India),Chemicals
8643,Run Service Info...,4.2,59,Private,Chennai + 11 more,15 years old,51-200 Employees (Global),IT Services & Consulting
8644,Mangalore Refine...,4.3,59,Public,"Mangaluru/Mangalore,Karnataka + 4 more",34 years old,1k-5k Employees (India),Financial Services
8645,Isgec Hitachi Zo...,3.9,59,Private,Dahej + 4 more,10 years old,201-500 Employees (India),Industrial Equipment / Machinery
8646,Aarav Software S...,3.2,59,Private,Malad + 3 more,,,IT Services & Consulting
8647,TONI&GUY,4.2,59,Private,London + 16 more,59 years old,1-10 Employees (India),Beauty & Personal Care
8648,Biltech Building...,3.5,59,Private,New Delhi + 8 more,29 years old,201-500 Employees (India),Building Material
8649,Encore Healthcar...,4.3,59,Private,Mumbai + 8 more,20 years old,51-200 Employees (India),Healthcare / Pharma
8650,S & T Engineers ...,3.9,59,Private,"Coimbatore,Tamil Nadu + 9 more",26 years old,501-1k Employees (India),Industrial Equipment / Machinery
8651,Gsrtc,3.8,59,Public,Ahmedabad + 20 more,62 years old,201-500 Employees (India),Urban Transport
8652,Fresa Technologi...,4.8,59,Private,"Chennai,Tamil Nadu + 3 more",10 years old,11-50 Employees (India),IT Services & Consulting
8653,TPI Composites,4.2,59,Public,"Scottsdale,Arizona + 2 more",54 years old,501-1k Employees (India),Internet
8654,D-VoiS Communica...,3.9,59,Private,Bengaluru + 9 more,16 years old,51-200 Employees (India),Telecom / ISP
8655,B5 Plus,3.1,59,Public,Tema + 3 more,20 years old,1k-5k Employees (India),Iron & Steel
8656,Vikudha Overseas...,4.7,59,,Hong Kong,49 years old,,Chemicals
8657,De Lage Landen F...,4.4,59,Private,Eindhoven + 18 more,53 years old,201-500 Employees (India),Financial Services
8658,FiberHome,3.9,59,Private,Wuhan + 7 more,23 years old,51-200 Employees (India),Telecom / ISP
8659,Delval Flow Cont...,4.4,59,Private,Louisiana + 5 more,17 years old,201-500 Employees (India),Industrial Equipment / Machinery
8660,Uber eats,4.2,59,Private,"San Francisco,California + 19 more",8 years old,1k-5k Employees (Global),Internet
8661,Reliance Infocom...,4,59,Private,Mumbai + 34 more,,,Telecom / ISP
8662,Vivo Life Scienc...,4.6,59,Private,Secunderabad + 9 more,12 years old,51-200 Employees (India),Pharmaceutical & Life Sciences
8663,South India Kris...,4.5,59,Private,New Delhi + 1 more,13 years old,1k-5k Employees (India),Oil & Gas
8664,Sekhani Industri...,3.2,59,,Ahmedabad + 14 more,52 years old,,FMCG
8665,Academic World S...,3.9,59,,Raipur + 2 more,11 years old,,Education / Training
8666,Nina Percept,3.8,59,,Mumbai + 8 more,,501-1k Employees (India),Building Material
8667,Girnarsoft Autom...,3.6,59,,Gurgaon/Gurugram + 17 more,,1k-5k Employees (India),
8668,Airproducts,4,59,Public,"Trexlertown,PA + 2 more",82 years old,501-1k Employees (India),Chemicals
8669,BeatO,3.7,59,Private,"Delhi,NCT + 1 more",7 years old,201-500 Employees (India),Internet
8670,Sri Sai Power an...,4,59,Private,Tiruchirappalli + 9 more,9 years old,11-50 Employees (India),Industrial Equipment / Machinery
8671,Azentio,3.4,59,,Singapore + 10 more,,501-1k Employees (India),Software Product
8672,H & R Johnson (I...,3.6,59,Public,Mumbai + 30 more,64 years old,5k-10k Employees (Global),Building Material
8673,Entero Healthcar...,4.1,59,,"Mumbai,Maharashtra + 9 more",4 years old,,Healthcare / Pharma
8674,Denso Haryana Pr...,4,59,,Manesar + 4 more,,501-1k Employees (India),Auto Components
8675,ACCE GLOBAL SOFT...,3.8,59,,Kolkata + 4 more,,201-500 Employees (India),Software Product
8676,QR Crypher,4.8,59,JV,"Tiruchirappalli,Tamil Nadu",3 years old,11-50 Employees (India),IT Services & Consulting
8677,DELLA LEADERS CL...,4,59,Private,"Mumbai,Maharashtra + 1 more",,,IT Services & Consulting
8678,DotPe,3.5,59,Private,"Gurgaon,Haryana + 3 more",3 years old,201-500 Employees (India),Internet
8679,1K Kirana Bazaar,3.5,59,,"Gurgaon,Haryana + 9 more",4 years old,,Retail
8680,Lennox India Tec...,4.2,59,Private,"Chennai,Tamil Nadu",127 years old,201-500 Employees (India),Industrial Equipment / Machinery
8681,Bluefield Techno...,4.6,59,,Bengaluru/Bangalore + 1 more,,51-200 Employees (India),IT Services & Consulting
8682,TVS Next,4,59,Private,New Jersey + 1 more,14 years old,201-500 Employees (India),Financial Services
8683,Fynd,4.5,59,Private,"Mumbai,Maharashtra + 4 more",8 years old,501-1k Employees (India),Internet
8684,Indovision Servi...,4.1,59,Private,"Delhi/NCR,Delhi + 10 more",10 years old,11-50 Employees (India),IT Services & Consulting
8685,Gopalan Enterpri...,4.2,59,Private,"Bangalore/Bengaluru,Karnataka + 1 more",38 years old,201-500 Employees (India),Real Estate
8686,KRIBHCO Fertiliz...,4.2,58,Public,Noida + 7 more,27 years old,1-10 Employees (India),Agriculture / Forestry / Fishing
8687,KTM,3.9,58,Private,Mattighofen + 30 more,69 years old,1k-5k Employees (India),Automobile
8688,DDF Consultants,4,58,Private,"New Delhi,Delhi + 11 more",14 years old,201-500 Employees (India),Architecture / Interior Design
8689,NTT DATA FA Insu...,3.1,58,Private,Singapore + 4 more,41 years old,201-500 Employees (India),Software Product
8690,Zillion Infrapro...,3.7,58,Private,New Delhi + 6 more,47 years old,51-200 Employees (India),Engineering & Construction
8691,Simplex Castings,3.6,58,Public,Mumbai + 4 more,52 years old,1k-5k Employees (India),Industrial Equipment / Machinery
8692,Oriental Consult...,4.2,58,Private,"Lucknow,Uttar Pradesh + 12 more",25 years old,51-200 Employees (India),Consulting
8693,Orient Abrasives,4,58,Public,Mumbai + 3 more,48 years old,51-200 Employees (India),Metals & Mining
8694,UTL Technologies,3.8,58,Public,Bangalore + 14 more,21 years old,51-200 Employees (India),Internet
8695,Epic Research,3.6,58,Private,"Indore,Madhya Pradesh",11 years old,51-200 Employees (India),Financial Services
8696,Presto Stantest,4.2,58,,Faridabad + 5 more,40 years old,,Industrial Equipment / Machinery
8697,REVA University,4.1,58,Private,Bengaluru,18 years old,1k-5k Employees (India),Financial Services
8698,Ducima Analytics,4.9,58,Private,"Chennai,Tamil Nadu + 1 more",6 years old,11-50 Employees (India),Advertising & Marketing
8699,Timezone Enterta...,3.9,58,,Perth + 14 more,44 years old,,Events / Live Entertainment
8700,Clove Technologi...,3.7,58,Private,"Hyderabad/Secunderabad,Telangana",18 years old,51-200 Employees (India),IT Services & Consulting
8701,JBJ TECHNOLOGIES,4.1,58,,Greater Noida,28 years old,,Industrial Equipment / Machinery
8702,Listenlights,4.2,58,,Mumbai + 4 more,36 years old,,Electrical Equipment
8703,Export Trading g...,3.3,58,Private,Dubai + 10 more,55 years old,5k-10k Employees (Global),Food Processing
8704,Techno Kart Indi...,3.4,58,Private,Mumbai + 17 more,19 years old,10k-50k Employees (India),Internet
8705,Evolutionary Sys...,4.1,58,,"Ahmedabad,Gujarat + 1 more",16 years old,,IT Services & Consulting
